timestamp,value
2022-01-19 14:39:50,1
2022-01-19 14:39:55,1
2022-01-19 14:40:00,1
2022-01-19 14:40:05,1
2022-01-19 14:40:10,1
2022-01-19 14:40:15,1
2022-01-19 14:40:20,2
2022-01-19 14:40:25,2
2022-01-19 14:40:30,2
2022-01-19 14:40:35,2
2022-01-19 14:40:40,2
2022-01-19 14:40:45,3
2022-01-19 14:40:50,3
2022-01-19 14:40:55,3
2022-01-19 14:41:00,3
2022-01-19 14:41:05,3
2022-01-19 14:41:10,3
2022-01-19 14:41:15,4
2022-01-19 14:41:20,4
2022-01-19 14:41:25,4
2022-01-19 14:41:30,4
2022-01-19 14:41:35,4
2022-01-19 14:41:40,4
2022-01-19 14:41:45,5
2022-01-19 14:41:50,5
2022-01-19 14:41:55,5
2022-01-19 14:42:00,5
2022-01-19 14:42:05,5
2022-01-19 14:42:10,6
2022-01-19 14:42:15,6
2022-01-19 14:42:20,6
2022-01-19 14:42:25,6
2022-01-19 14:42:30,6
2022-01-19 14:42:35,7
2022-01-19 14:42:40,7
2022-01-19 14:42:45,7
2022-01-19 14:42:50,7
2022-01-19 14:42:55,7
2022-01-19 14:43:00,7
2022-01-19 14:43:05,8
2022-01-19 14:43:10,8
2022-01-19 14:43:15,8
2022-01-19 14:43:20,8
2022-01-19 14:43:25,8
2022-01-19 14:43:30,9
2022-01-19 14:43:35,9
2022-01-19 14:43:40,9
2022-01-19 14:43:45,9
2022-01-19 14:43:50,9
2022-01-19 14:43:55,10
2022-01-19 14:44:00,10
2022-01-19 14:44:05,10
2022-01-19 14:44:10,10
2022-01-19 14:44:15,10
2022-01-19 14:44:20,11
2022-01-19 14:44:25,11
2022-01-19 14:44:30,11
2022-01-19 14:44:35,11
2022-01-19 14:44:40,11
2022-01-19 14:44:45,12
2022-01-19 14:44:50,12
2022-01-19 14:44:55,12
2022-01-19 14:45:00,12
2022-01-19 14:45:05,12
2022-01-19 14:45:10,13
2022-01-19 14:45:15,13
2022-01-19 14:45:20,13
2022-01-19 14:45:25,13
2022-01-19 14:45:30,13
2022-01-19 14:45:35,14
2022-01-19 14:45:40,14
2022-01-19 14:45:45,14
2022-01-19 14:45:50,14
2022-01-19 14:45:55,14
2022-01-19 14:46:00,15
2022-01-19 14:46:05,15
2022-01-19 14:46:10,15
2022-01-19 14:46:15,15
2022-01-19 14:46:20,15
2022-01-19 14:46:25,16
2022-01-19 14:46:30,16
2022-01-19 14:46:35,16
2022-01-19 14:46:40,16
2022-01-19 14:46:45,16
2022-01-19 14:46:50,17
2022-01-19 14:46:55,17
2022-01-19 14:47:00,17
2022-01-19 14:47:05,17
2022-01-19 14:47:10,17
2022-01-19 14:47:15,18
2022-01-19 14:47:20,18
2022-01-19 14:47:25,18
2022-01-19 14:47:30,18
2022-01-19 14:47:35,18
2022-01-19 14:47:40,19
2022-01-19 14:47:45,19
2022-01-19 14:47:50,19
2022-01-19 14:47:55,19
2022-01-19 14:48:00,20
2022-01-19 14:48:05,20
2022-01-19 14:48:10,20
2022-01-19 14:48:15,20
2022-01-19 14:48:20,20
2022-01-19 14:48:25,21
2022-01-19 14:48:30,21
2022-01-19 14:48:35,21
2022-01-19 14:48:40,21
2022-01-19 14:48:45,22
2022-01-19 14:48:50,22
2022-01-19 14:48:55,22
2022-01-19 14:49:00,22
2022-01-19 14:49:05,22
2022-01-19 14:49:10,23
2022-01-19 14:49:15,23
2022-01-19 14:49:20,23
2022-01-19 14:49:25,23
2022-01-19 14:49:30,24
2022-01-19 14:49:35,24
2022-01-19 14:49:40,24
2022-01-19 14:49:45,24
2022-01-19 14:49:50,24
2022-01-19 14:49:55,25
2022-01-19 14:50:00,25
2022-01-19 14:50:05,25
2022-01-19 14:50:10,25
2022-01-19 14:50:15,26
2022-01-19 14:50:20,26
2022-01-19 14:50:25,26
2022-01-19 14:50:30,26
2022-01-19 14:50:35,27
2022-01-19 14:50:40,27
2022-01-19 14:50:45,27
2022-01-19 14:50:50,27
2022-01-19 14:50:55,27
2022-01-19 14:51:00,28
2022-01-19 14:51:05,28
2022-01-19 14:51:10,28
2022-01-19 14:51:15,28
2022-01-19 14:51:20,29
2022-01-19 14:51:25,29
2022-01-19 14:51:30,29
2022-01-19 14:51:35,29
2022-01-19 14:51:40,30
2022-01-19 14:51:45,30
2022-01-19 14:51:50,30
2022-01-19 14:51:55,30
2022-01-19 14:52:00,31
2022-01-19 14:52:05,31
2022-01-19 14:52:10,31
2022-01-19 14:52:15,31
2022-01-19 14:52:20,32
2022-01-19 14:52:25,32
2022-01-19 14:52:30,32
2022-01-19 14:52:35,32
2022-01-19 14:52:40,32
2022-01-19 14:52:45,33
2022-01-19 14:52:50,33
2022-01-19 14:52:55,33
2022-01-19 14:53:00,33
2022-01-19 14:53:05,34
2022-01-19 14:53:10,34
2022-01-19 14:53:15,34
2022-01-19 14:53:20,34
2022-01-19 14:53:25,35
2022-01-19 14:53:30,35
2022-01-19 14:53:35,35
2022-01-19 14:53:40,35
2022-01-19 14:53:45,36
2022-01-19 14:53:50,36
2022-01-19 14:53:55,36
2022-01-19 14:54:00,36
2022-01-19 14:54:05,37
2022-01-19 14:54:10,37
2022-01-19 14:54:15,37
2022-01-19 14:54:20,37
2022-01-19 14:54:25,38
2022-01-19 14:54:30,38
2022-01-19 14:54:35,38
2022-01-19 14:54:40,39
2022-01-19 14:54:45,39
2022-01-19 14:54:50,39
2022-01-19 14:54:55,39
2022-01-19 14:55:00,40
2022-01-19 14:55:05,40
2022-01-19 14:55:10,40
2022-01-19 14:55:15,40
2022-01-19 14:55:20,41
2022-01-19 14:55:25,41
2022-01-19 14:55:30,41
2022-01-19 14:55:35,41
2022-01-19 14:55:40,42
2022-01-19 14:55:45,42
2022-01-19 14:55:50,42
2022-01-19 14:55:55,43
2022-01-19 14:56:00,43
2022-01-19 14:56:05,43
2022-01-19 14:56:10,43
2022-01-19 14:56:15,44
2022-01-19 14:56:20,44
2022-01-19 14:56:25,44
2022-01-19 14:56:30,45
2022-01-19 14:56:35,45
2022-01-19 14:56:40,45
2022-01-19 14:56:45,45
2022-01-19 14:56:50,46
2022-01-19 14:56:55,46
2022-01-19 14:57:00,46
2022-01-19 14:57:05,46
2022-01-19 14:57:10,47
2022-01-19 14:57:15,47
2022-01-19 14:57:20,47
2022-01-19 14:57:25,48
2022-01-19 14:57:30,48
2022-01-19 14:57:35,48
2022-01-19 14:57:40,48
2022-01-19 14:57:45,49
2022-01-19 14:57:50,49
2022-01-19 14:57:55,49
2022-01-19 14:58:00,50
2022-01-19 14:58:05,50
2022-01-19 14:58:10,50
2022-01-19 14:58:15,51
2022-01-19 14:58:20,51
2022-01-19 14:58:25,51
2022-01-19 14:58:30,51
2022-01-19 14:58:35,52
2022-01-19 14:58:40,52
2022-01-19 14:58:45,52
2022-01-19 14:58:50,53
2022-01-19 14:58:55,53
2022-01-19 14:59:00,53
2022-01-19 14:59:05,54
2022-01-19 14:59:10,54
2022-01-19 14:59:15,54
2022-01-19 14:59:20,55
2022-01-19 14:59:25,55
2022-01-19 14:59:30,55
2022-01-19 14:59:35,55
2022-01-19 14:59:40,56
2022-01-19 14:59:45,56
2022-01-19 14:59:50,56
2022-01-19 14:59:55,57
2022-01-19 15:00:00,57
2022-01-19 15:00:05,57
2022-01-19 15:00:10,58
2022-01-19 15:00:15,58
2022-01-19 15:00:20,58
2022-01-19 15:00:25,59
2022-01-19 15:00:30,59
2022-01-19 15:00:35,59
2022-01-19 15:00:40,60
2022-01-19 15:00:45,60
2022-01-19 15:00:50,61
2022-01-19 15:00:55,61
2022-01-19 15:01:00,61
2022-01-19 15:01:05,62
2022-01-19 15:01:10,62
2022-01-19 15:01:15,62
2022-01-19 15:01:20,63
2022-01-19 15:01:25,63
2022-01-19 15:01:30,64
2022-01-19 15:01:35,64
2022-01-19 15:01:40,64
2022-01-19 15:01:45,65
2022-01-19 15:01:50,65
2022-01-19 15:01:55,65
2022-01-19 15:02:00,66
2022-01-19 15:02:05,66
2022-01-19 15:02:10,67
2022-01-19 15:02:15,67
2022-01-19 15:02:20,67
2022-01-19 15:02:25,68
2022-01-19 15:02:30,68
2022-01-19 15:02:35,69
2022-01-19 15:02:40,69
2022-01-19 15:02:45,69
2022-01-19 15:02:50,70
2022-01-19 15:02:55,70
2022-01-19 15:03:00,71
2022-01-19 15:03:05,71
2022-01-19 15:03:10,72
2022-01-19 15:03:15,72
2022-01-19 15:03:20,73
2022-01-19 15:03:25,73
2022-01-19 15:03:30,73
2022-01-19 15:03:35,74
2022-01-19 15:03:40,74
2022-01-19 15:03:45,75
2022-01-19 15:03:50,75
2022-01-19 15:03:55,76
2022-01-19 15:04:00,76
2022-01-19 15:04:05,77
2022-01-19 15:04:10,77
2022-01-19 15:04:15,78
2022-01-19 15:04:20,78
2022-01-19 15:04:25,79
2022-01-19 15:04:30,79
2022-01-19 15:04:35,80
